,tickers,r2,beta,alpha,alpha_significance,absolute_returns,specific_risk,systematic_risk,total_risk
11,SAN.MC,0.7556792886319763,1.7862742444350244,0.00021273893020911337,0.8565573149701682,0.03645589200773314,0.01572311362075247,0.7980832283027971,0.8138063419235496
12,BMW.DE,0.7177367677959815,1.1431915454061428,-0.00046563678298472226,0.5752732074463824,-0.0849903501590914,0.011097945706985765,0.326881181741345,0.33797912744833075
13,BNP.PA,0.7821958222997192,1.523465337163331,0.00025565354727837475,0.7837556618352499,0.044450812091067604,0.012444772683628366,0.5805198390323874,0.5929646117160157
14,BN.PA,0.4805955733500499,0.5965935134365543,0.000724154330974983,0.3143007338962589,0.12973420573467642,0.009601089127652807,0.08902438163285233,0.09862547076050514
15,DB1.DE,0.5001532072801651,0.8249734038839942,-6.518748686331721e-05,0.9456138176187019,-0.012582201546805116,0.012766913254157235,0.17022831755262346,0.1829952308067807
16,DPW.DE,0.697436148831448,0.9097101345857819,0.0007838961237975699,0.2597107999709456,0.14016569985286242,0.009275522002574739,0.20699410506125834,0.21626962706383307
17,DTE.DE,0.657752365909523,0.8014446328131704,-0.00012299895984388995,0.8543185330997731,-0.022964068233089385,0.008949351720299484,0.16065674407573094,0.16960609579603042
18,EL.PA,0.4996353412048291,0.6626827820974253,0.0004252232070369914,0.580164855676135,0.07585863311523955,0.010266004718716696,0.10984069829567056,0.12010670301438725
19,RMS.PA,0.3801216038179016,0.6217351093161951,0.0010709392049918737,0.24527229370314632,0.19212962587824567,0.01229069383869429,0.09668580038390248,0.10897649422259677
20,IBE.MC,0.5058413373328293,0.6483683701321209,0.00010016554942035658,0.8926963061044142,0.01736297657499075,0.009920347885625727,0.10514667695208237,0.11506702483770809
21,ITX.MC,0.677062895525667,0.8581660326548466,0.0006414730253002008,0.3508429240797303,0.11458255328065015,0.009174762292804155,0.18420208965421558,0.19337685194701973
22,IFX.DE,0.526102880543492,0.948101766489901,0.0013934400174061333,0.18249180503922713,0.249844116362544,0.01392966539648799,0.22483391507823647,0.23876358047472446
23,INGA.AS,0.7642066402259093,1.501315958056379,0.00035319707918738904,0.714771939514023,0.062031427632499136,0.012909562272485275,0.5637624077629246,0.5766719700354099
24,KER.PA,0.613132965118195,0.9377262840419425,0.0013031162747743383,0.13231391839559162,0.23359651347969024,0.01153077910432684,0.2199399338087488,0.23147071291307564
25,OR.PA,0.5567634608871029,0.6361125674052175,0.0008008887439519938,0.22425233868318334,0.14350575621977057,0.008786085486980233,0.10120916997112024,0.10999525545810047
26,LIN.DE,0.0024298769994732794,-0.004056277850748449,0.000165355245133967,0.08379768725594748,0.029768115852307986,0.0012722905511688047,4.115354992549539e-06,0.0012764059061613543
27,MC.PA,0.5772887545303711,0.8462738120215547,0.0008491516446487054,0.3122349139385509,0.1519769354620486,0.01121024974041559,0.17913222287411942,0.19034247261453502
28,MBG.DE,0.6872641122889771,1.029591271340822,-0.000315045846886454,0.6955028551444453,-0.05776714808057015,0.010751545903325494,0.2651438850947943,0.2758954309981198
29,MUV2.DE,0.6983280575690554,0.8498337339850717,3.618058582882883e-05,0.9554193267796378,0.005638483629514468,0.008646706434262534,0.18064246220323074,0.1892891686374933
30,RI.PA,0.4417398492379403,0.60881205599958,0.0003040268771851933,0.7015001041537297,0.054098697744096924,0.010594910757989613,0.09270825345897896,0.10330316421696857
31,PHIA.AS,0.650497110952027,0.8333259389571843,0.0010128970274105138,0.15357212257946715,0.18146442075639868,0.009455764194741182,0.17369275838091516,0.18314852257565634
32,SAF.PA,0.5405927772454298,0.9351852271084065,0.00036123316233159763,0.7176829805641736,0.06406016662084557,0.013345672458117694,0.21874955944251007,0.23209523190062775
33,SAN.PA,0.5251440917402441,0.6960213406272625,-0.00025782842600160626,0.7367606322000424,-0.047124948276918044,0.01024573858395664,0.12117053427963392,0.13141627286359056
34,SAP.DE,0.6417681592143655,0.734147855867302,0.0010691465880788718,0.09381488307678523,0.1916913425801594,0.008490936208008329,0.1348090291260501,0.14329996533405845
35,SU.PA,0.6896373420765363,1.117097238400125,0.0012925448656053368,0.13782758600241385,0.23150918359391293,0.01160097147082762,0.3121288180986102,0.3237297895694378
36,SIE.DE,0.71378316852393,0.9195422961570019,0.0014408602373772999,0.03383279145560157,0.25840912829129525,0.009013950684576267,0.21149267585128512,0.2205066265358614
37,TTE.PA,0.6625222707360758,1.0145279390039472,0.0005378762684264927,0.5216974857049514,0.09577432474275271,0.011208961148673155,0.2574423164784864,0.26865127762715957
38,DG.PA,0.5692199798760273,0.6723091273491049,0.0011889385470897833,0.08065680903778834,0.21331749399311573,0.009053901172650768,0.11305503952545587,0.12210894069810664
39,VOW.DE,0.5350200936806634,1.1479202227992402,7.617207025035885e-05,0.9510167725176595,0.012530380157557808,0.016566195690116622,0.3295909857038931,0.34615718139400975
40,VNA.DE,0.2724367829770069,0.5245829163006197,0.0013448924086811795,0.17686459193074236,0.24154111989453808,0.013270756263204266,0.06883038484438585,0.08210114110759012
