,tickers,r2,beta,alpha,alpha_significance,absolute_returns,specific_risk,systematic_risk,total_risk
0,ADS.DE,0.17765555366589847,0.41287983355723024,0.003111899003278282,0.0028307944607589416,0.559717189313405,0.013751187148148932,0.04263823839776505,0.05638942554591399
1,AD.AS,0.31990250433220047,0.4735836348861384,0.0007152730103660342,0.3718682675714259,0.12826207902785258,0.010689379316019753,0.05609772957717973,0.06678710889319948
2,AI.PA,0.5369919817826652,0.7197394112971629,0.0003288933460937563,0.6711212133296455,0.05846057756255796,0.010345814181469057,0.12956940968693287,0.13991522386840194
3,AIR.PA,0.5875082136564553,0.9479765883030151,-0.00039069667966943423,0.6712836391498691,-0.0713003603700324,0.012296381453854517,0.2247745492065887,0.2370709306604432
4,ALV.DE,0.8131802171791116,1.0584616474205322,-0.00022592344834205234,0.7007966281046498,-0.04175480843130863,0.007853661691256682,0.28022195851850235,0.288075620209759
5,ABI.BR,0.49041308688146934,0.6574341218503915,0.00043793343228875085,0.5729440814596567,0.07815187170889981,0.010374313853153093,0.1081076416226623,0.11848195547581539
6,ASML.AS,0.4036894604589675,0.6856724058679622,0.0011617974886907968,0.2298511408802747,0.20841835985529134,0.012900550505544537,0.11759402502955255,0.13049457553509708
7,CS.PA,0.7889974451994121,1.49520465491931,-0.000472343306626185,0.5981924590076346,-0.08655955657004855,0.011969767998289567,0.5591820119660367,0.5711517799643262
8,BAS.DE,0.7368709032203361,0.8709562229345127,0.0007185224256775992,0.23439758758220675,0.12843829112213134,0.008056828033686915,0.18973373868831958,0.19779056672200648
9,BAYN.DE,0.5356725810248275,0.8277733260310352,-0.0008040034392650543,0.36847583802431705,-0.14557195259303768,0.011930342676412516,0.1713857727085049,0.18331611538491743
10,BBVA.MC,0.7351940076575654,1.5593108732663647,-0.0003441867225601376,0.7509619049336266,-0.0635573022565914,0.01448687344919842,0.6081592631768022,0.6226461366260007
